timestamp,humidity,pm_2_5,pm_2_5_sp,temperature,pm_2_5_lag_1,pm_2_5_lag_2,pm_2_5_lag_3,pm_2_5_lag_4,pm_2_5_lag_5,pm_2_5_lag_6,pm_2_5_lag_7
2022-07-04 07:00:00,58.8398845,23.04833142,24.18296893,31.93828922,18.60486957,25.1625,12.91986196,11.3760862,20.15502686,13.73925926,15.38458574
2022-07-05 07:00:00,63.0745674,22.28730341,24.80667434,29.30681243,23.04833142,18.60486957,25.1625,12.91986196,11.3760862,20.15502686,13.73925926
2022-07-06 07:00:00,51.04041844,13.19126102,13.36757378,33.27081257,22.28730341,23.04833142,18.60486957,25.1625,12.91986196,11.3760862,20.15502686
2022-07-07 07:00:00,57.55248477,17.85059932,18.47368421,32.36163885,13.19126102,22.28730341,23.04833142,18.60486957,25.1625,12.91986196,11.3760862
2022-07-08 07:00:00,53.05998191,27.71675813,34.26728499,33.90744941,17.85059932,13.19126102,22.28730341,23.04833142,18.60486957,25.1625,12.91986196
2022-07-09 07:00:00,52.62409315,21.93944791,23.31909212,33.56080552,27.71675813,17.85059932,13.19126102,22.28730341,23.04833142,18.60486957,25.1625
2022-07-10 07:00:00,50.01450048,19.45414847,20.13174603,34.12636111,21.93944791,27.71675813,17.85059932,13.19126102,22.28730341,23.04833142,18.60486957
2022-07-11 07:00:00,50.96686232,12.7602021,12.95959596,33.40118881,19.45414847,21.93944791,27.71675813,17.85059932,13.19126102,22.28730341,23.04833142
2022-07-12 07:00:00,51.87461233,10.48506891,10.61102603,33.0417611,12.7602021,19.45414847,21.93944791,27.71675813,17.85059932,13.19126102,22.28730341
2022-07-13 07:00:00,58.16280047,11.48564081,12.46680942,30.49618415,10.48506891,12.7602021,19.45414847,21.93944791,27.71675813,17.85059932,13.19126102
2022-07-14 07:00:00,54.93360326,13.69900307,14.13190184,32.20758819,11.48564081,10.48506891,12.7602021,19.45414847,21.93944791,27.71675813,17.85059932
2022-07-15 07:00:00,56.91732013,22.04986575,26.02722393,32.08137653,13.69900307,11.48564081,10.48506891,12.7602021,19.45414847,21.93944791,27.71675813
2022-07-16 07:00:00,51.82817748,17.72251956,20.30794566,33.23799918,22.04986575,13.69900307,11.48564081,10.48506891,12.7602021,19.45414847,21.93944791
2022-07-17 07:00:00,53.59709953,23.86735131,27.1390077,33.29645851,17.72251956,22.04986575,13.69900307,11.48564081,10.48506891,12.7602021,19.45414847
2022-07-18 07:00:00,57.91191274,25.72322457,28.19577735,31.8424952,23.86735131,17.72251956,22.04986575,13.69900307,11.48564081,10.48506891,12.7602021
2022-07-19 07:00:00,52.13984349,27.55474453,29.40020826,34.12954877,25.72322457,23.86735131,17.72251956,22.04986575,13.69900307,11.48564081,10.48506891
2022-07-20 07:00:00,53.23809617,21.68649271,24.29984663,32.30733896,27.55474453,25.72322457,23.86735131,17.72251956,22.04986575,13.69900307,11.48564081
2022-07-21 07:00:00,51.8737394,18.60951285,21.77884247,32.86210809,21.68649271,27.55474453,25.72322457,23.86735131,17.72251956,22.04986575,13.69900307
2022-07-22 07:00:00,54.71754764,16.91628122,17.2627197,33.2353284,18.60951285,21.68649271,27.55474453,25.72322457,23.86735131,17.72251956,22.04986575
